Wavelength (nm),Extinction coefficient
235.372,0.037804771242112185
235.444,0.03758429117047212
235.516,0.037363747070929466
235.588,0.037142910641653835
235.66,0.03692705405775818
235.732,0.03670842879110263
235.804,0.036497036045430295
235.876,0.03628749322289651
235.948,0.03607853061476258
236.02,0.03587252790742449
236.092,0.035666557891685144
236.164,0.03545749296926908
236.236,0.035246847718444864
236.308,0.03503614411164722
236.38,0.034821214655918004
236.452,0.034606553601759626
236.524,0.03439481753462565
236.596,0.03417809417959541
236.668,0.03396129719010282
236.74,0.03374919176919333
236.812,0.0335408957259511
236.884,0.03333447595216253
236.956,0.03312906208262809
237.028,0.03292392672568373
237.1,0.03272197538847552
237.172,0.03252110274167706
237.244,0.03232826893936916
237.316,0.03213265215023832
237.388,0.03193821070830631
237.46,0.0317476251689008
237.532,0.03155763912936486
237.604,0.031366424489999066
237.675,0.031174172238725116
237.747,0.030983869533147076
237.819,0.03079453557817207
237.891,0.03060995293545491
237.963,0.030427542759476855
238.035,0.030247139491842105
238.107,0.03007370471764282
238.178,0.029904420210325924
238.25,0.029732148593401533
238.322,0.02956006644399856
238.394,0.029386518794566063
238.466,0.029212449362821507
238.538,0.029039160714042868
238.609,0.028866434415914837
238.681,0.028692408883031137
238.753,0.028513632791979455
238.825,0.02833399116936212
238.897,0.028153171854381293
238.968,0.027971254382734474
239.04,0.027788418316738516
239.112,0.02760651729385212
239.184,0.02742493301949505
239.255,0.027244718715106444
239.327,0.02706519653826582
239.399,0.026884466197156613
239.471,0.026707531231482173
239.542,0.02652891646356306
239.614,0.02635138784732289
239.686,0.0261756501254625
239.758,0.02600084176243681
239.829,0.025828892272219284
239.901,0.025656643325500356
239.973,0.025484635941353345
240.044,0.02531365058799609
240.116,0.025143679983435772
240.188,0.024975617755163163
240.259,0.02480706426058818
240.331,0.024641549607883395
240.403,0.02448141463676578
240.474,0.02432229986259965
240.546,0.024161486570709788
240.618,0.023997929816009487
240.689,0.02384048624135462
240.761,0.023684803229780386
240.833,0.023531938418521806
240.904,0.023383499550612023
240.976,0.023237421826402434
241.048,0.023100132515833
241.119,0.022962757502147556
241.191,0.02282258224827066
241.262,0.02268813796669885
241.334,0.022554338565215503
241.405,0.02242183939696564
241.477,0.022293035548877457
241.549,0.022168332843674324
241.62,0.02204182699258508
241.692,0.021914589977088214
